brand_name,model_name,price,CC,mileage,type_of_bike,weight_in_kg,top_speed,links
Hero,Hf deluxe,48950,97.2,83,Petrol Bike,109,85,https://www.carandbike.com/hero-bikes/hf-deluxe
Hero Electric ,Optima hx,55580,N/A,82,Electric Bike,73,42,https://www.carandbike.com/hero-electric-bikes/optima-hx
Polarity ,Executive ,38000,N/A,80,Electric Bike,55,40,https://www.carandbike.com/polarity-bikes/executive
Polarity ,Sport ,40000,N/A,80,Electric Bike,55,45,https://www.carandbike.com/polarity-bikes/sport
Bajaj ,Platina 110,65930,115,80,Petrol Bike,108,90,https://www.carandbike.com/bajaj-bikes/platina-110
Gemopai ,Astrid lite,84787,N/A,80,Electric Bike,96,65,https://www.carandbike.com/gemopai-bikes/astrid-lite
Kawasaki ,Klx 110,299500,112,80,Petrol Bike,76,50,https://www.carandbike.com/kawasaki-bikes/klx-110
TVS ,Sport ,52500,109.7,76.4,Petrol Bike,110,90,https://www.carandbike.com/tvs-bikes/sport
Hero ,Splendor ismart,65950,113.2,75,Petrol Bike,116,92,https://www.carandbike.com/hero-bikes/splendor-ismart
Odysse ,V2,75000,N/A,75,Electric Bike,75,25,https://www.carandbike.com/odysse-bikes/v2
Ampere,Magnus pro,79966,N/A,75,Electric Bike,94,55,https://www.carandbike.com/ampere-bikes/magnus-pro
TVS ,Iqube,166358,N/A,75,Electric Bike,118,78,https://www.carandbike.com/tvs-bikes/iqube
Honda,Cd-110 dream,65248,109.5,74,Petrol Bike,109,86,https://www.carandbike.com/honda-bikes/cd-110-dream
Honda,Livo,70799,109.5,74,Petrol Bike,115,86,https://www.carandbike.com/honda-bikes/livo
TVS,Victor,54042,109.7,72,Petrol Bike,112,94,https://www.carandbike.com/tvs-bikes/victor
Hero,Hf 100,49400,97.2,70,Petrol Bike,110,90,https://www.carandbike.com/hero-bikes/hf-100
Odysse,Racer,59500,N/A,70,Electric Bike,100,45,https://www.carandbike.com/odysse-bikes/racer
Bgauss,B8,62999,N/A,70,Electric Bike,88,50,https://www.carandbike.com/bgauss-bikes/b8
Hero,Splendor plus,69380,97.2,70,Petrol Bike,110,93,https://www.carandbike.com/hero-bikes/splendor-plus
Ampere,Zeal,74490,N/A,70,Electric Bike,75,55,https://www.carandbike.com/ampere-bikes/zeal
TVS,Radeon,59942,109.7,69,Petrol Bike,116,95,https://www.carandbike.com/tvs-bikes/radeon
Hero,Pleasure-Plus 110,61900,110.9,69,Petrol Bike,104,77,https://www.carandbike.com/hero-bikes/pleasure-plus-110
TVS,Xl 100,40990,99.7,67,Petrol Bike,88,60,https://www.carandbike.com/tvs-bikes/xl-100
TVS ,Raider,84573,124.8,67,Petrol Bike,123,100,https://www.carandbike.com/tvs-bikes/raider
Yamaha,Fascino 125,70000,125,66,Petrol Bike,99,90,https://www.carandbike.com/yamaha-bikes/fascino-125
Yamaha,Ray-Zr 125fi,73330,125,66,Petrol Bike,99,91,https://www.carandbike.com/yamaha-bikes/ray-zr-125fi
Hero,Splendor pro,49598,97.2,65,Petrol Bike,112,87,https://www.carandbike.com/hero-bikes/splendor-pro
TVS,Scooty-Pep plus,52554,87.8,65,Petrol Bike,95,65,https://www.carandbike.com/tvs-bikes/scooty-pep-plus
Hero,Maestro edge,65900,110.9,65,Petrol Bike,112,80,https://www.carandbike.com/hero-bikes/maestro-edge
Honda,Cb shine,72787,124.7,65,Petrol Bike,114,100,https://www.carandbike.com/honda-bikes/cb-shine
Honda,Sp 125,78381,124,65,Petrol Bike,117,100,https://www.carandbike.com/honda-bikes/sp-125
Bajaj,Pulsar 150,95872,149.5,65,Petrol Bike,144,112,https://www.carandbike.com/bajaj-bikes/pulsar-150
Suzuki,New-Access 125,72600,124,64,Petrol Bike,103,90,https://www.carandbike.com/suzuki-bikes/new-access-125
Suzuki,Gixxer,118800,154.9,64,Petrol Bike,140,115,https://www.carandbike.com/suzuki-bikes/gixxer
TVS,Scooty-Zest 110,59925,109.7,62,Petrol Bike,97,80,https://www.carandbike.com/tvs-bikes/scooty-zest-110
TVS,Jupiter,70085,109.7,62,Petrol Bike,109,85,https://www.carandbike.com/tvs-bikes/jupiter
Bajaj,Pulsar 125,72122,124.4,62,Petrol Bike,140,105,https://www.carandbike.com/bajaj-bikes/pulsar-125
Honda,Cb-Unicorn 160,98931,162.7,62,Petrol Bike,134,101.9,https://www.carandbike.com/honda-bikes/cb-unicorn-160
Lohia,Omastar,40850,N/A,60,Electric Bike,66,25,https://www.carandbike.com/lohia-bikes/omastar
Okinawa,R30,58992,N/A,60,Electric Bike,150,25,https://www.carandbike.com/okinawa-bikes/r30
Okinawa,Dual,58998,N/A,60,Electric Bike,96,25,https://www.carandbike.com/okinawa-bikes/dual
Hero,Super splendor,73900,124.7,60,Petrol Bike,123,100,https://www.carandbike.com/hero-bikes/super-splendor
Hero,Glamour 125,74900,124.7,60,Petrol Bike,126,91,https://www.carandbike.com/hero-bikes/glamour-125
TVS,Ntorq 125,77106,124.8,60,Petrol Bike,118,95,https://www.carandbike.com/tvs-bikes/ntorq-125
Kawasaki ,Klx 140g,406600,144,60,Petrol Bike,99,70,https://www.carandbike.com/kawasaki-bikes/klx-140g
Evolet ,Pony,39499,N/A,55,Electric Bike,82,25,https://www.carandbike.com/evolet-bikes/pony
Evolet ,Polo ,44499,N/A,55,Electric Bike,82,25,https://www.carandbike.com/evolet-bikes/polo
Evolet,Derby ,46499,N/A,55,Electric Bike,82,25,https://www.carandbike.com/evolet-bikes/derby
Ampere ,Reo elite,47264,N/A,55,Electric Bike,68,25,https://www.carandbike.com/ampere-bikes/reo-elite
Honda ,Dio,64510,109.5,55,Petrol Bike,103,83,https://www.carandbike.com/honda-bikes/dio
Suzuki,Avenis ,86500,124.3,55,Petrol Bike,106,90,https://www.carandbike.com/suzuki-bikes/avenis
Hero ,Xtreme 160r,111610,163,55,Petrol Bike,139,115,https://www.carandbike.com/hero-bikes/xtreme-160r
Kawasaki ,Kx 100,487800,99,55,Petrol Bike,77,75,https://www.carandbike.com/kawasaki-bikes/kx-100
Hero ,Destini 125,67990,124.6,54,Petrol Bike,113,80,https://www.carandbike.com/hero-bikes/destini-125
Honda ,Grazia,82566,124,54,Petrol Bike,107,92,https://www.carandbike.com/honda-bikes/grazia
Suzuki ,Burgman,84300,124,53.5,Petrol Bike,110,96,https://www.carandbike.com/suzuki-bikes/burgman
Okinawa,Lite bikes,59990,N/A,50,Electric Bike,150,25,https://www.carandbike.com/okinawa-bikes/lite
TVS ,Jupiter 125,73400,124.8,50,Petrol Bike,109,90,https://www.carandbike.com/tvs-bikes/jupiter-125
Bajaj,Pulsar-Ns 125,93818,124.4,50,Petrol Bike,144,105,https://www.carandbike.com/bajaj-bikes/pulsar-ns-125
Hero,Maestro-Edge 125,73450,124.6,49,Petrol Bike,110,90,https://www.carandbike.com/hero-bikes/maestro-edge-125
TVS,Apache-Rtr 160,112940,159.7,48,Petrol Bike,139,107,https://www.carandbike.com/tvs-bikes/apache-rtr-160
Yamaha,Mt 15,144900,155,48,Petrol Bike,138,130,https://www.carandbike.com/yamaha-bikes/mt-15
Yamaha ,Mt-15 v20,160900,155,48,Petrol Bike,139,140,https://www.carandbike.com/yamaha-bikes/mt-15-v20
TVS,Apache-Rtr 180,103950,177.4,47,Petrol Bike,139,113,https://www.carandbike.com/tvs-bikes/apache-rtr-180
Suzuki,Gixxer sf,129300,154.9,47,Petrol Bike,146,127,https://www.carandbike.com/suzuki-bikes/gixxer-sf
Yamaha,R15S v30,158939,155,47,Petrol Bike,142,136,https://www.carandbike.com/yamaha-bikes/r15s-v30
Ampere ,V48,38719,N/A,45,Electric Bike,84,25,https://www.carandbike.com/ampere-bikes/v48
Ampere,Reo,44838,N/A,45,Electric Bike,70,25,https://www.carandbike.com/ampere-bikes/reo
Ampere,Magnus,45999,N/A,45,Electric Bike,94,25,https://www.carandbike.com/ampere-bikes/magnus
Honda,Activa 6g,69645,109.5,45,Petrol Bike,107,85,https://www.carandbike.com/honda-bikes/activa-6g
Honda,Activa-125 fi,72637,124,45,Petrol Bike,111,93.84,https://www.carandbike.com/honda-bikes/activa-125-fi
Piaggio,Vespa,91492,125,45,Petrol Bike,114,90,https://www.carandbike.com/piaggio-bikes/vespa
Yamaha,Fz-V30 fi,99200,149,45,Petrol Bike,137,112,https://www.carandbike.com/yamaha-bikes/fz-v30-fi
Bajaj,Avenger-Street 160,101094,160.3,45,Petrol Bike,156,105,https://www.carandbike.com/bajaj-bikes/avenger-street-160
Bajaj,Avenger-Street 220,103891,220,45,Petrol Bike,150,120,https://www.carandbike.com/bajaj-bikes/avenger-street-220
Bajaj,Pulsar 180,108000,178.6,45,Petrol Bike,151,122,https://www.carandbike.com/bajaj-bikes/pulsar-180
Bajaj,Pulsar ns160,110086,160.3,45,Petrol Bike,151,120,https://www.carandbike.com/bajaj-bikes/pulsar-ns160
Honda,X blade,111895,162.7,45,Petrol Bike,143,120,https://www.carandbike.com/honda-bikes/x-blade
Yamaha,Fz-S-V30 fi,115900,149,45,Petrol Bike,135,115,https://www.carandbike.com/yamaha-bikes/fz-s-v30-fi
Yamaha,Fz x,116800,149,45,Petrol Bike,139,115,https://www.carandbike.com/yamaha-bikes/fz-x
Piaggio,Vespa 150,122664,154.8,45,Petrol Bike,114,90,https://www.carandbike.com/piaggio-bikes/vespa-150
Royal Enfield,Bullet 350,127094,346,45,Petrol Bike,183,110,https://www.carandbike.com/royal-enfield-bikes/bullet-350
Yamaha,Aerox 155,129000,155,45,Petrol Bike,122,120,https://www.carandbike.com/yamaha-bikes/aerox-155
TVS Apache,Apache-Rtr-165 rp,145001,164.9,45,Petrol Bike,148,123,https://www.carandbike.com/tvs-bikes/apache-rtr-165-rp
Yamaha,Yzf-R15 v40,170800,155,45,Petrol Bike,142,140,https://www.carandbike.com/yamaha-bikes/yzf-r15-v40
Royal Enfield ,Himalayan,210784,411,45,Petrol Bike,191,145,https://www.carandbike.com/royal-enfield-bikes/himalayan
Suzuki ,Intruder ,126500,154.9,44,Petrol Bike,152,115,https://www.carandbike.com/suzuki-bikes/intruder
Hero ,Xpulse 200t,115800,199.6,43,Petrol Bike,154,115,https://www.carandbike.com/hero-bikes/xpulse-200t
Yamaha,Fz 25,134800,249,43,Petrol Bike,153,134,https://www.carandbike.com/yamaha-bikes/fz-25
Yamaha ,Fzs 25,143300,249,43,Petrol Bike,154,134,https://www.carandbike.com/yamaha-bikes/fzs-25
Yamaha,Fazer 25,144180,249,43,Petrol Bike,154,134,https://www.carandbike.com/yamaha-bikes/fazer-25
Hero ,Xpulse 200,118230,199.6,42,Petrol Bike,157,134,https://www.carandbike.com/hero-bikes/xpulse-200
TVS ,Apache-Rtr-200-Fi e100,120000,197.8,42,Petrol Bike,152,129,https://www.carandbike.com/tvs-bikes/apache-rtr-200-fi-e100
Honda,H-Ness-Cb 350,196239,348.4,42,Petrol Bike,181,125,https://www.carandbike.com/honda-bikes/h-ness-cb-350
Royal Enfield ,Meteor 350,205844,349,41.88,Petrol Bike,183,120,https://www.carandbike.com/royal-enfield-bikes/meteor-350
KTM,Rc 125,180538,124.7,41.3,Petrol Bike,135,120,https://www.carandbike.com/ktm-bikes/rc-125
Aprilia,Sr 150,75733,154.8,40,Petrol Bike,122,95,https://www.carandbike.com/aprilia-bikes/sr-150
Aprilia ,Storm 125,85431,124.5,40,Petrol Bike,122,90,https://www.carandbike.com/aprilia-bikes/storm-125
Aprilia ,Sr 125,107595,125,40,Petrol Bike,122,90,https://www.carandbike.com/aprilia-bikes/sr-125
Aprilia ,Sxr 125,115000,125,40,Petrol Bike,129,90,https://www.carandbike.com/aprilia-bikes/sxr-125
Bajaj,Avenger-Cruise 220,122630,220,40,Petrol Bike,159,120,https://www.carandbike.com/bajaj-bikes/avenger-cruise-220
Bajaj,Pulsar 220,123245,220,40,Petrol Bike,155,120,https://www.carandbike.com/bajaj-bikes/pulsar-220
Hero,Xpulse-200 4v,130150,199.6,40,Petrol Bike,158,115,https://www.carandbike.com/hero-bikes/xpulse-200-4v
Honda,Hornet 20,132238,184.4,40,Petrol Bike,142,130,https://www.carandbike.com/honda-bikes/hornet-20
Bajaj ,Pulsar f250,140000,249.1,40,Petrol Bike,164,130,https://www.carandbike.com/bajaj-bikes/pulsar-f250
Honda,Cb200X,144500,184.4,40,Petrol Bike,147,130,https://www.carandbike.com/honda-bikes/cb200x
Suzuki ,Gixxer-Sf 250,181900,249,38.5,Petrol Bike,161,117,https://www.carandbike.com/suzuki-bikes/gixxer-sf-250
Suzuki,Gixxer 250,171200,249,38,Petrol Bike,156,122.73,https://www.carandbike.com/suzuki-bikes/gixxer-250
JAWA,Forty two,171415,293,37.5,Petrol Bike,170,120,https://www.carandbike.com/jawa-bikes/forty-two
JAWA,300-,180415,293,37.5,Petrol Bike,170,120,https://www.carandbike.com/jawa-bikes/300
Royal Enfield,Classic 350,184374,349,37,Petrol Bike,195,115,https://www.carandbike.com/royal-enfield-bikes/classic-350
JAWA,42-,193142,293,37,Petrol Bike,170,129.46,https://www.carandbike.com/jawa-bikes/42
Benelli,Leoncino 250,250000,249,37,Petrol Bike,162,154,https://www.carandbike.com/benelli-bikes/leoncino-250
Hero,Xtreme 200s,120214,199.6,36.9,Petrol Bike,155,115,https://www.carandbike.com/hero-bikes/xtreme-200s
Aprilia,Sr 160,117494,160,35,Petrol Bike,122,95,https://www.carandbike.com/aprilia-bikes/sr-160
Aprilia,Sxr 160,126000,160,35,Petrol Bike,129,100,https://www.carandbike.com/aprilia-bikes/sxr-160
Bajaj,Pulsar-200 ns,131219,199.5,35,Petrol Bike,152,136,https://www.carandbike.com/bajaj-bikes/pulsar-200-ns
Bajaj ,Pulsar n250,138000,249.1,35,Petrol Bike,162,130,https://www.carandbike.com/bajaj-bikes/pulsar-n250
Bajaj,Pulsar-Rs 200,152179,199.5,35,Petrol Bike,165,140.8,https://www.carandbike.com/bajaj-bikes/pulsar-rs-200
Bajaj ,Dominar 250,154176,248.8,35,Petrol Bike,180,132,https://www.carandbike.com/bajaj-bikes/dominar-250
KTM,200 duke,190000,199.5,35,Petrol Bike,159,142,https://www.carandbike.com/ktm-bikes/200-duke
Honda,Cb-350 rs,196006,348.4,35,Petrol Bike,179,135,https://www.carandbike.com/honda-bikes/cb-350-rs
JAWA,Perak,208187,334,35,Petrol Bike,175,140,https://www.carandbike.com/jawa-bikes/perak
KTM,Rc 200,213000,199.5,35,Petrol Bike,151,170,https://www.carandbike.com/ktm-bikes/rc-200
Husqvarna,Vitpilen 250,215000,248.8,35,Petrol Bike,152,157,https://www.carandbike.com/husqvarna-bikes/vitpilen-250
Husqvarna,Svartpilen 250,218000,248.8,35,Petrol Bike,154,157,https://www.carandbike.com/husqvarna-bikes/svartpilen-250
KTM,250 adventure,242000,248,35,Petrol Bike,177,140,https://www.carandbike.com/ktm-bikes/250-adventure
KTM,390 duke,287545,373.2,35,Petrol Bike,167,167,https://www.carandbike.com/ktm-bikes/390-duke
KTM,Rc 390,314000,373.2,35,Petrol Bike,147,200,https://www.carandbike.com/ktm-bikes/rc-390
KTM,125 duke,176000,124.7,34.5,Petrol Bike,148,120,https://www.carandbike.com/ktm-bikes/125-duke
Cleveland Cyclewerks,Ace deluxe,223000,229,33.98,Petrol Bike,133,113,https://www.carandbike.com/cleveland-cyclewerks-bikes/ace-deluxe
Suzuki V-Stro,V-Strom-Sx 250,211600,249,33,Petrol Bike,167,150,https://www.carandbike.com/suzuki-bikes/v-strom-sx-250
CFMoto,300Nk,229000,292.4,33,Petrol Bike,151,150,https://www.carandbike.com/cfmoto-bikes/300nk
TVS,Apache-Rtr-200 4v,129315,197.8,32,Petrol Bike,149,127,https://www.carandbike.com/tvs-bikes/apache-rtr-200-4v
Benelli,Imperiale 400,189799,374,31.25,Petrol Bike,205,120,https://www.carandbike.com/benelli-bikes/imperiale-400
Benelli,Trk 502,486000,500,30.97,Petrol Bike,235,160,https://www.carandbike.com/benelli-bikes/trk-502
Honda,Cb300R,277000,286,30.2,Petrol Bike,146,160,https://www.carandbike.com/honda-bikes/cb300r
TVS,Apache-Rtr-160 4v,111565,159.7,30,Petrol Bike,145,113,https://www.carandbike.com/tvs-bikes/apache-rtr-160-4v
Yamaha,R15 v30,157600,155,30,Petrol Bike,142,136,https://www.carandbike.com/yamaha-bikes/r15-v30
Yezdi,Roadster,198142,334,30,Petrol Bike,184,140,https://www.carandbike.com/yezdi-bikes/roadster
Royal Enfield,Scram 411,203000,411,30,Petrol Bike,185,140,https://www.carandbike.com/royal-enfield-bikes/scram-411
Yezdi,Scrambler,204900,334,30,Petrol Bike,182,140,https://www.carandbike.com/yezdi-bikes/scrambler
Yezdi,Adventure,209900,334,30,Petrol Bike,188,142,https://www.carandbike.com/yezdi-bikes/adventure
KTM ,250 duke,228736,248.8,30,Petrol Bike,169,142,https://www.carandbike.com/ktm-bikes/250-duke
Cleveland Cyclewerks ,Misfit ,249000,229,30,Petrol Bike,133,110,https://www.carandbike.com/cleveland-cyclewerks-bikes/misfit
BMW,G-310 r,250000,313,30,Petrol Bike,158,153,https://www.carandbike.com/bmw-bikes/g-310-r
TVS,Apache-Rr 310,259000,312.2,30,Petrol Bike,170,160,https://www.carandbike.com/tvs-bikes/apache-rr-310
BMW,G-310 gs,290000,313,30,Petrol Bike,169,141,https://www.carandbike.com/bmw-bikes/g-310-gs
Honda,Cb500X,687386,471,28.6,Petrol Bike,199,182,https://www.carandbike.com/honda-bikes/cb500x
BMW,C-400 gt,995000,350,28.6,Petrol Bike,202,139,https://www.carandbike.com/bmw-bikes/c-400-gt
Royal Enfield,Classic chrome,188868,499,27,Petrol Bike,194,130,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
Bajaj,Dominar-400 2019,202755,373.3,27,Petrol Bike,184,156,https://www.carandbike.com/bajaj-bikes/dominar-400-2019
Triumph ,Bonneville t100,949000,900,26.3,Petrol Bike,228,160,https://www.carandbike.com/triumph-bikes/bonneville-t100
Kawasaki,Z250,308000,249,26,Petrol Bike,168,200,https://www.carandbike.com/kawasaki-bikes/z250
Kawasaki,Ninja 300,337000,296,26,Petrol Bike,179,182,https://www.carandbike.com/kawasaki-bikes/ninja-300
FB Mondial,Hps 300,337000,249,26,Petrol Bike,135,141,https://www.carandbike.com/fb-mondial-bikes/hps-300
Royal Enfield,Interceptor 650,281518,648,25.5,Petrol Bike,202,170,https://www.carandbike.com/royal-enfield-bikes/interceptor-650
Royal Enfield,Continental-Gt 650,298079,648,25.5,Petrol Bike,198,161,https://www.carandbike.com/royal-enfield-bikes/continental-gt-650
Triumph,Trident 660,745000,660,25.5,Petrol Bike,189,,https://www.carandbike.com/triumph-bikes/trident-660
Suzuki,V-Strom 650xt,884000,645,25.2,Petrol Bike,216,,https://www.carandbike.com/suzuki-bikes/v-strom-650xt
Mahindra,Mojo,199000,295,25,Petrol Bike,186,,https://www.carandbike.com/mahindra-bikes/mojo
KTM,390 adventure,335000,373,25,Petrol Bike,158,,https://www.carandbike.com/ktm-bikes/390-adventure
Kawasaki,Ninja 400,499000,399,25,Petrol Bike,173,,https://www.carandbike.com/kawasaki-bikes/ninja-400
Kawasaki,Kx250F,799000,249,25,Petrol Bike,104,,https://www.carandbike.com/kawasaki-bikes/kx250f
Kawasaki,Kx 450,859000,449,25,Petrol Bike,110,,https://www.carandbike.com/kawasaki-bikes/kx-450
Honda,Cb-650 r,867275,648.7,25,Petrol Bike,206,,https://www.carandbike.com/honda-bikes/cb-650-r
Honda,Cbr650R,935000,648.7,25,Petrol Bike,211,,https://www.carandbike.com/honda-bikes/cbr650r
Indian,Scout sixty,1099500,999,25,Petrol Bike,254,,https://www.carandbike.com/indian-bikes/scout-sixty
Indian,Scout,1269500,1131,25,Petrol Bike,244,,https://www.carandbike.com/indian-bikes/scout
Benelli,Trk 251,251000,249,24.39,Petrol Bike,164,,https://www.carandbike.com/benelli-bikes/trk-251
Benelli,Leoncino,470000,500,24,Petrol Bike,150,,https://www.carandbike.com/benelli-bikes/leoncino
BMW,F900R,1080000,895,24,Petrol Bike,211,,https://www.carandbike.com/bmw-bikes/f900r
Harley-Davidson,1200 custom,1089000,1202,24,Petrol Bike,268,,https://www.carandbike.com/harley-davidson-bikes/1200-custom
Triumph,Tiger-850 sport,1195000,888,24,Petrol Bike,192,,https://www.carandbike.com/triumph-bikes/tiger-850-sport
Triumph ,Bonneville bobber,1225000,1200,24,Petrol Bike,251,,https://www.carandbike.com/triumph-bikes/bonneville-bobber
BMW,F900Xr,1230000,895,24,Petrol Bike,219,,https://www.carandbike.com/bmw-bikes/f900xr
Ducati,Multistrada-1200 enduro,1799000,1198.4,24,Petrol Bike,254,,https://www.carandbike.com/ducati-bikes/multistrada-1200-enduro
Kawasaki,Ninja-Zx 6r,1049000,636,23.59,Petrol Bike,196,,https://www.carandbike.com/kawasaki-bikes/ninja-zx-6r
Triumph,Speedmaster,1195000,1200,23.25,Petrol Bike,263,,https://www.carandbike.com/triumph-bikes/speedmaster
Kawasaki,Z650Rs,672000,649,23.2,Petrol Bike,192,,https://www.carandbike.com/kawasaki-bikes/z650rs
Kawasaki,Vulcan s,616000,649,23,Petrol Bike,235,,https://www.carandbike.com/kawasaki-bikes/vulcan-s
Kawasaki,Klx 450r,899000,449,23,Petrol Bike,126,,https://www.carandbike.com/kawasaki-bikes/klx-450r
KTM,790 duke,863945,799,22.72,Petrol Bike,169,,https://www.carandbike.com/ktm-bikes/790-duke
Kawasaki,Versys-X 300,469000,296,22,Petrol Bike,184,,https://www.carandbike.com/kawasaki-bikes/versys-x-300
Triumph,Tiger-Sport 660,895000,660,22,Petrol Bike,206,,https://www.carandbike.com/triumph-bikes/tiger-sport-660
BMW,750 gs,899000,853,22,Petrol Bike,224,,https://www.carandbike.com/bmw-bikes/750-gs
BMW,850 gs,1250000,853,22,Petrol Bike,229,,https://www.carandbike.com/bmw-bikes/850-gs
Triumph,Speed-Triple-1200 rs,1695000,1160,22,Petrol Bike,198,,https://www.carandbike.com/triumph-bikes/speed-triple-1200-rs
BMW,R-Nine t,1850000,1170,22,Petrol Bike,208,,https://www.carandbike.com/bmw-bikes/r-nine-t
CFMoto ,650Nk,429000,649,21,Petrol Bike,206,,https://www.carandbike.com/cfmoto-bikes/650nk
Kawasaki,Ninja 650,668000,649,21,Petrol Bike,196,,https://www.carandbike.com/kawasaki-bikes/ninja-650
Triumph,Thruxton r,1192000,1200,21,Petrol Bike,203,,https://www.carandbike.com/triumph-bikes/thruxton-r
BMW,R-1250 r,1625000,1254,21,Petrol Bike,239,,https://www.carandbike.com/bmw-bikes/r-1250-r
BMW,S-1000 r,1790000,999,21,Petrol Bike,199,,https://www.carandbike.com/bmw-bikes/s-1000-r
